,cities_tags,purchase_places,stores,countries,countries_tags,countries_fr,code,product_name,generic_name,manufacturing_places,manufacturing_places_tags,main_category_fr,created_datetime,last_modified_datetime
10096,chateaurenard-bouches-du-rhone-france,chateaurenard-bouches-du-rhone-france,carrefour,france,france,france,3613460005927,roquette,roquette,france,france,légumes frais,2015-08-05t18:33:07z,2015-10-28t10:45:28z
10097,"saint-loup-lamaire-deux-sevres-france,saint-loup-lamaire-deux-sevres-france","france,nantes",leclerc,france,france,france,3614070053117,fromage pur chèvre du poitou,fromage de chèvre au lait pasteurisé,france,france,fromages,2016-08-25t17:38:06z,2017-03-13t08:55:30z
10098,"saint-saviol-vienne-france,saint-saviol-vienne-france",france,carrefour,"belgium,france,netherlands","belgium,en:france,en:netherlands","belgique,france,pays-bas",3614170030117,le mottin charentais,fromage au lait de vache pasteurisé double crème,"fromageries lescure,st saviol,86400,france","fromageries-lescure,st-saviol,86400,france",fromages de france,2015-02-28t17:30:46z,2017-02-04t16:51:09z
10099,"saint-saviol-vienne-france,saint-saviol-vienne-france",france,carrefour,france,france,france,3614170031985,fromage au lait de vache pasteurisé (23 % mg),"fromage industriel de france, à pâte molle à croûte fleurie, au lait pasteurisé de vache","fromageries saint-saviol (filiale groupe savencia saveurs & spécialités) - 86400 saint-saviol,vienne,poitou-charentes,france","fromageries-saint-saviol-filiale-groupe-savencia-saveurs-specialites-86400-saint-saviol,vienne,poitou-charentes,france",fromages de france,2015-05-22t13:46:25z,2015-07-17t12:45:13z
10100,saint-saviol-vienne-france,france,carrefour,france,france,france,3614170031992,coulommiers (23% mg),fromage au lait de vache pasteurisé,france,france,fromages de france,2015-11-25t19:06:52z,2017-04-07t22:46:29z
10101,"saint-saviol-vienne-france,saint-saviol-vienne-france","lyon,france",casino,france,france,france,3614170053154,le platane (22 % mg),"fromage de france, aux laits pasteurisés de chèvre et de vache","fromageries saint-saviol (filiale groupe savencia saveurs & spécialités) - 86400 saint-saviol,vienne,poitou-charentes,france","fromageries-saint-saviol-filiale-groupe-savencia-saveurs-specialites-86400-saint-saviol,vienne,poitou-charentes,france",fromages de france,2015-07-11t17:25:36z,2015-07-17t13:04:47z
10102,moreac-morbihan-france,"paris,france",franprix,france,france,france,3628130000041,haricots verts extra-fins,haricots verts extra-fins surgelés,france,france,surgelés,2016-05-30t13:34:12z,2016-09-11t11:51:17z
10103,pornic-loire-atlantique-france,"harnes,france",simply market,france,france,france,3660014112655,émincé de poulet rôti à la normande et riz,plat préparé frais,"collet sarl - 5 rue paul langevin - zac de la blavetière - 44210 pornic,loire-atlantique,pays de la loire,france","collet-sarl-5-rue-paul-langevin-zac-de-la-blavetiere-44210-pornic,loire-atlantique,pays-de-la-loire,france",plats à base de viande,2015-04-24t18:58:02z,2015-04-29t22:37:15z
10104,pornic-loire-atlantique-france,"lyon,france",simply market,france,france,france,3660014117414,risotto de poulet,risotto de poulet,france,france,plats préparés,2017-02-06t17:08:40z,2017-02-18t16:15:34z
10105,quiberon-morbihan-france,quiberon-morbihan-france,carrefour,france,france,france,3660088101029,les sardines chaudes au beurre de baratte - 115 g,poisson en conserve,"ouest production - za plein ouest - route kerné,56170 quiberon,morbihan,bretagne,france","ouest-production-za-plein-ouest-route-kerne,56170-quiberon,morbihan,bretagne,france",sardines en conserve,2012-05-31t19:54:52z,2015-12-07t15:13:26z
